GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
buyer-service,com.emart.buyer,BuyerServiceApplication,1,3,0,0,1,1,1,1,1,1
buyer-service,com.emart.buyer.controller,ItemController,0,54,0,2,0,14,0,4,0,3
buyer-service,com.emart.buyer.controller,CartController,0,106,0,8,0,31,0,10,0,6
buyer-service,com.emart.buyer.pojo,Result,0,36,0,0,0,14,0,9,0,9
buyer-service,com.emart.buyer.entity,CartItem,0,45,0,0,0,19,0,13,0,13
buyer-service,com.emart.buyer.entity,PurchaseHistory,0,52,0,0,0,22,0,15,0,15
buyer-service,com.emart.buyer.entity,Item,0,87,0,0,0,37,0,25,0,25
buyer-service,com.emart.buyer.service.impl,CartServiceImpl,0,69,0,2,0,17,0,6,0,5
buyer-service,com.emart.buyer.service.impl,ItemServiceImpl,0,24,0,0,0,4,0,3,0,3
